Column 3| A:0	C:0	G:0	T:0	-:94	
Likelihood	Scale	Scale2
-36.947156	1.000000	12.690979
-36.947156	1.000000	12.690980
-36.841076	1.000000	13.022476
-36.841076	1.000000	13.022477
-36.841076	1.000000	13.022478
-36.748928	1.000000	13.331174
-36.748928	1.000000	13.331175
-36.748928	1.000000	13.331176
-36.668342	1.000000	13.619642
-36.668341	1.000000	13.619643
-36.668341	1.000000	13.619644
-36.577631	1.000000	13.968748
-36.577630	1.000000	13.968749
-36.577630	1.000000	13.968750
-36.476065	1.000000	14.396917
-36.476065	1.000000	14.396918
-36.476065	1.000000	14.396919
-36.402475	1.000000	14.737694
-36.402475	1.000000	14.737695
-36.402475	1.000000	14.737696
-36.337588	1.000000	15.064791
-36.337588	1.000000	15.064792
-36.337588	1.000000	15.064793
-36.324340	1.000000	15.135167
-36.324340	1.000000	15.135168
-36.324340	1.000000	15.135169
-36.270911	1.000000	15.433415
-36.270911	1.000000	15.433416
-36.270911	1.000000	15.433417
-36.242071	1.000000	15.605302
-36.242071	1.000000	15.605303
-36.242071	1.000000	15.605304
-36.190692	1.000000	15.934467
-36.190691	1.000000	15.934468
-36.190691	1.000000	15.934469
-36.177541	1.000000	16.024203
-36.177541	1.000000	16.024204
-36.177541	1.000000	16.024205
-36.168212	1.000000	16.089402
-36.168212	1.000000	16.089403
-36.168211	1.000000	16.089404
-36.148591	1.000000	16.231043
-36.148591	1.000000	16.231044
-36.148591	1.000000	16.231045
-36.130648	1.000000	16.366469
-36.130648	1.000000	16.366470
-36.130647	1.000000	16.366471
-35.960706	1.000000	18.190173
-35.960706	1.000000	18.190174
-35.960706	1.000000	18.190175
-35.956028	1.000000	18.271090
-35.956028	1.000000	18.271091
-35.956028	1.000000	18.271092
-35.947165	1.000000	18.436508
-35.947165	1.000000	18.436509
-35.947165	1.000000	18.436510
-35.914909	1.000000	20.817968
-35.914909	1.000000	20.817969
-35.914909	1.000000	20.817970
-35.914481	1.000000	20.797140
-35.914481	1.000000	20.797141
-35.914481	1.000000	20.797142
-35.914075	1.000000	20.776868
-35.914075	1.000000	20.776869
-35.914075	1.000000	20.776870
-35.910232	1.000000	20.545482
-35.910232	1.000000	20.545483
-35.910232	1.000000	20.545484
-35.909653	1.000000	20.500371
-35.909653	1.000000	20.500372
-35.909653	1.000000	20.500373
-35.909506	1.000000	20.488145
-35.909506	1.000000	20.488146
-35.909506	1.000000	20.488147
-35.909366	1.000000	20.476256
-35.909366	1.000000	20.476257
-35.909366	1.000000	20.476258
-35.908720	1.000000	20.415995
-35.908720	1.000000	20.415996
-35.908720	1.000000	20.415997
-35.908623	1.000000	20.406098
-35.908623	1.000000	20.406099
-35.908623	1.000000	20.406100
-35.908532	1.000000	20.396477
-35.908532	1.000000	20.396478
-35.908532	1.000000	20.396479
-35.908446	1.000000	20.387123
-35.908446	1.000000	20.387124
-35.908446	1.000000	20.387125
-35.908140	1.000000	20.351571
-35.908140	1.000000	20.351572
-35.908140	1.000000	20.351573
-35.908041	1.000000	20.339174
-35.908041	1.000000	20.339175
-35.908042	1.000000	20.339176
-35.907952	1.000000	20.327434
-35.907952	1.000000	20.327435
-35.907952	1.000000	20.327436
-35.907919	1.000000	20.322908
Column 8| A:0	C:0	G:0	T:0	-:23	
Likelihood	Scale	Scale2
-47.518713	1.000000	1.000000
-47.518713	1.000000	1.000000
-47.518704	1.000000	1.000001
-47.518696	1.000000	1.000002
-44.550098	1.000000	1.432635
-44.550092	1.000000	1.432636
-44.550086	1.000000	1.432637
-39.887994	1.000000	2.606784
-39.887991	1.000000	2.606785
-39.887989	1.000000	2.606786
-31.935196	1.000000	12.336273
-31.935196	1.000000	12.336274
-31.935196	1.000000	12.336275
-31.924040	1.000000	12.443491
-31.924040	1.000000	12.443492
-31.924040	1.000000	12.443493
-31.907990	1.000000	12.610559
-31.907990	1.000000	12.610560
-31.907990	1.000000	12.610561
-31.899895	1.000000	12.701832
-31.899895	1.000000	12.701833
-31.899895	1.000000	12.701834
-31.877343	1.000000	12.990411
-31.877343	1.000000	12.990412
-31.877343	1.000000	12.990413
-31.873296	1.000000	13.049302
-31.873296	1.000000	13.049303
-31.873295	1.000000	13.049304
-31.868913	1.000000	13.116334
-31.868913	1.000000	13.116335
-31.868913	1.000000	13.116336
-31.864972	1.000000	13.179948
-31.864972	1.000000	13.179949
-31.864972	1.000000	13.179950
-31.861432	1.000000	13.240232
-31.861432	1.000000	13.240233
-31.861432	1.000000	13.240234
-31.856979	1.000000	13.321082
-31.856979	1.000000	13.321083
-31.856979	1.000000	13.321084
-31.850680	1.000000	13.447538
-31.850680	1.000000	13.447539
-31.850680	1.000000	13.447540
-31.848560	1.000000	13.494164
-31.848560	1.000000	13.494165
-31.848560	1.000000	13.494166
-31.846646	1.000000	13.538466
-31.846646	1.000000	13.538467
-31.846646	1.000000	13.538468
-31.842043	1.000000	13.655816
-31.842043	1.000000	13.655817
-31.842043	1.000000	13.655818
-31.840095	1.000000	13.711446
-31.840095	1.000000	13.711447
-31.840095	1.000000	13.711448
-31.838988	1.000000	13.745122
-31.838988	1.000000	13.745123
-31.838988	1.000000	13.745124
-31.836238	1.000000	13.837204
-31.836238	1.000000	13.837205
-31.836238	1.000000	13.837206
-31.835490	1.000000	13.864883
-31.835490	1.000000	13.864884
-31.835490	1.000000	13.864885
-31.833924	1.000000	13.927797
-31.833924	1.000000	13.927798
-31.833924	1.000000	13.927799
-31.833388	1.000000	13.951222
-31.833388	1.000000	13.951223
-31.833388	1.000000	13.951224
-31.832894	1.000000	13.973836
-31.832894	1.000000	13.973837
-31.832894	1.000000	13.973838
-31.832584	1.000000	13.988667
-31.832584	1.000000	13.988668
-31.832584	1.000000	13.988669
-31.832169	1.000000	14.009266
-31.832169	1.000000	14.009267
-31.832169	1.000000	14.009268
-31.831270	1.000000	14.057779
-31.831270	1.000000	14.057780
-31.831270	1.000000	14.057781
-31.830974	1.000000	14.075196
-31.830974	1.000000	14.075197
-31.830974	1.000000	14.075198
-31.830812	1.000000	14.085068
-31.830812	1.000000	14.085069
-31.830812	1.000000	14.085070
-31.830556	1.000000	14.101240
-31.830556	1.000000	14.101241
-31.830556	1.000000	14.101242
-31.830324	1.000000	14.116675
-31.830324	1.000000	14.116676
-31.830323	1.000000	14.116677
-31.830111	1.000000	14.131408
-31.830111	1.000000	14.131409
-31.830111	1.000000	14.131410
-31.829682	1.000000	14.163595
-31.829682	1.000000	14.163596
-31.829682	1.000000	14.163597
-31.829527	1.000000	14.176205
-31.829527	1.000000	14.176206
-31.829527	1.000000	14.176207
-31.829385	1.000000	14.188245
-31.829385	1.000000	14.188246
-31.829385	1.000000	14.188247
-31.829242	1.000000	14.200990
-31.829242	1.000000	14.200991
-31.829242	1.000000	14.200992
-31.981538	1.000000	17.276915
-31.861965	1.000000	15.738952
-31.833646	1.000000	14.969971
-31.828299	1.000000	14.585480
-31.828299	1.000000	14.585481
-31.828299	1.000000	14.585482
-31.827930	1.000000	14.488267
-31.827930	1.000000	14.488268
-31.827930	1.000000	14.488269
-31.827917	1.000000	14.479530
-31.827917	1.000000	14.479531
-31.827917	1.000000	14.479532
-31.827898	1.000000	14.457492
-31.827898	1.000000	14.457493
-31.827898	1.000000	14.457494
-31.827897	1.000000	14.455274
Column 9| A:0	C:0	G:0	T:0	-:17	
Likelihood	Scale	Scale2
-20.360347	1.000000	1.000000
-20.360347	1.000000	1.000000
-20.360343	1.000000	1.000001
-20.360340	1.000000	1.000002
-19.366199	1.000000	1.361760
-19.366196	1.000000	1.361761
-19.366194	1.000000	1.361762
-18.063167	1.000000	2.151041
-18.063166	1.000000	2.151042
-18.063165	1.000000	2.151043
-16.857007	1.000000	3.873983
-16.857006	1.000000	3.873984
-16.857006	1.000000	3.873985
-16.739300	1.000000	4.240825
-16.739299	1.000000	4.240826
-16.739299	1.000000	4.240827
-16.670454	1.000000	4.518406
-16.670454	1.000000	4.518407
-16.670454	1.000000	4.518408
-16.626771	1.000000	4.738086
-16.626771	1.000000	4.738087
-16.626770	1.000000	4.738088
-16.603634	1.000000	4.877012
-16.603634	1.000000	4.877013
-16.603634	1.000000	4.877014
-16.580992	1.000000	5.037041
-16.580992	1.000000	5.037042
-16.580992	1.000000	5.037043
-16.565557	1.000000	5.167259
-16.565557	1.000000	5.167260
-16.565557	1.000000	5.167261
-16.558900	1.000000	5.231354
-16.558900	1.000000	5.231355
-16.558900	1.000000	5.231356
-16.548767	1.000000	5.342536
-16.548767	1.000000	5.342537
-16.548767	1.000000	5.342538
-16.524713	1.000000	5.793161
-16.524713	1.000000	5.793162
-16.524713	1.000000	5.793163
-16.522782	1.000000	5.894015
-16.522782	1.000000	5.894016
-16.522782	1.000000	5.894017
-16.522456	1.000000	5.921915
-16.522456	1.000000	5.921916
-16.522456	1.000000	5.921917
-16.522360	1.000000	5.932005
-16.522360	1.000000	5.932006
-16.522360	1.000000	5.932007
-16.522262	1.000000	5.943934
-16.522261	1.000000	5.943935
-16.522261	1.000000	5.943936
-16.522199	1.000000	5.952726
-16.522199	1.000000	5.952727
-16.522199	1.000000	5.952728
-16.522158	1.000000	5.959324
-16.522158	1.000000	5.959325
-16.522158	1.000000	5.959326
-16.522113	1.000000	6.056267
-16.522113	1.000000	6.056268
-16.522113	1.000000	6.056269
-16.522072	1.000000	6.046808
-16.522072	1.000000	6.046809
-16.522072	1.000000	6.046810
-16.522058	1.000000	6.042966
-16.522058	1.000000	6.042967
-16.522058	1.000000	6.042968
-16.522037	1.000000	6.035885
-16.522037	1.000000	6.035886
-16.522037	1.000000	6.035887
-16.522030	1.000000	6.033239
-16.522030	1.000000	6.033240
-16.522030	1.000000	6.033241
-16.522017	1.000000	6.026738
-16.522017	1.000000	6.026739
-16.522017	1.000000	6.026740
-16.522013	1.000000	6.024403
-16.522013	1.000000	6.024404
-16.522013	1.000000	6.024405
-16.522012	1.000000	6.023018
-16.522012	1.000000	6.023019
-16.522012	1.000000	6.023020
-16.522009	1.000000	6.020263
-16.522009	1.000000	6.020264
-16.522009	1.000000	6.020265
-16.522008	1.000000	6.019333
-16.522008	1.000000	6.019334
-16.522008	1.000000	6.019335
-16.522007	1.000000	6.018505
-16.522007	1.000000	6.018506
-16.522007	1.000000	6.018507
-16.522007	1.000000	6.018108
Column 10| A:0	C:0	G:0	T:0	-:16	
Likelihood	Scale	Scale2
-15.370728	1.000000	1.000000
-15.370728	1.000000	1.000000
-15.370726	1.000000	1.000001
-15.370724	1.000000	1.000002
-14.781639	1.000000	1.301737
-14.781637	1.000000	1.301738
-14.781636	1.000000	1.301739
-14.194770	1.000000	1.749236
-14.194769	1.000000	1.749237
-14.194768	1.000000	1.749238
-13.680851	1.000000	2.401106
-13.680851	1.000000	2.401107
-13.680850	1.000000	2.401108
-13.472084	1.000000	2.837123
-13.472083	1.000000	2.837124
-13.472083	1.000000	2.837125
-13.347154	1.000000	3.225288
-13.347154	1.000000	3.225289
-13.347154	1.000000	3.225290
-13.288369	1.000000	3.486250
-13.288368	1.000000	3.486251
-13.288368	1.000000	3.486252
-13.256103	1.000000	3.677624
-13.256103	1.000000	3.677625
-13.256102	1.000000	3.677626
-13.243936	1.000000	3.766475
-13.243936	1.000000	3.766476
-13.243936	1.000000	3.766477
-13.206411	1.000000	4.762538
-13.206411	1.000000	4.762539
-13.206411	1.000000	4.762540
-13.203930	1.000000	4.690003
-13.203930	1.000000	4.690004
-13.203930	1.000000	4.690005
-13.203130	1.000000	4.660693
-13.203130	1.000000	4.660694
-13.203130	1.000000	4.660695
-13.202515	1.000000	4.634522
-13.202515	1.000000	4.634523
-13.202515	1.000000	4.634524
-13.201199	1.000000	4.551004
-13.201199	1.000000	4.551005
-13.201199	1.000000	4.551006
-13.201110	1.000000	4.541210
-13.201110	1.000000	4.541211
-13.201110	1.000000	4.541212
-13.201000	1.000000	4.526053
-13.201000	1.000000	4.526054
-13.201000	1.000000	4.526055
-13.200964	1.000000	4.519888
-13.200964	1.000000	4.519889
-13.200964	1.000000	4.519890
-13.200920	1.000000	4.510211
-13.200920	1.000000	4.510212
-13.200920	1.000000	4.510213
-13.200907	1.000000	4.506373
-13.200907	1.000000	4.506374
-13.200907	1.000000	4.506375
-13.200892	1.000000	4.501381
-13.200892	1.000000	4.501382
-13.200892	1.000000	4.501383
-13.200875	1.000000	4.492294
-13.200875	1.000000	4.492295
-13.200875	1.000000	4.492296
-13.200874	1.000000	4.491106
-13.200874	1.000000	4.491107
-13.200874	1.000000	4.491108
-13.200872	1.000000	4.488111
-13.200872	1.000000	4.488112
-13.200872	1.000000	4.488113
-13.200871	1.000000	4.487544
-13.200871	1.000000	4.487545
-13.200871	1.000000	4.487546
-13.200871	1.000000	4.487062
Column 11| A:0	C:0	G:0	T:0	-:15	
Likelihood	Scale	Scale2
-11.615583	1.000000	1.000000
-11.615583	1.000000	1.000000
-11.615581	1.000000	1.000001
-11.615580	1.000000	1.000002
-11.387235	1.000000	1.199916
-11.387235	1.000000	1.199917
-11.387234	1.000000	1.199918
-11.225481	1.000000	1.386192
-11.225480	1.000000	1.386193
-11.225479	1.000000	1.386194
-11.094098	1.000000	1.582815
-11.094097	1.000000	1.582816
-11.094097	1.000000	1.582817
-10.864040	1.000000	2.165366
-10.864040	1.000000	2.165367
-10.864040	1.000000	2.165368
-10.839703	1.000000	2.276072
-10.839702	1.000000	2.276073
-10.839702	1.000000	2.276074
-10.807731	1.000000	2.473829
-10.807731	1.000000	2.473830
-10.807731	1.000000	2.473831
-10.794036	1.000000	2.601362
-10.794035	1.000000	2.601363
-10.794035	1.000000	2.601364
-10.787424	1.000000	2.689273
-10.787424	1.000000	2.689274
-10.787424	1.000000	2.689275
-10.784018	1.000000	2.752060
-10.784018	1.000000	2.752061
-10.784018	1.000000	2.752062
-10.782631	1.000000	2.785521
-10.782631	1.000000	2.785522
-10.782631	1.000000	2.785523
-10.781430	1.000000	2.822622
-10.781430	1.000000	2.822623
-10.781430	1.000000	2.822624
-10.780642	1.000000	2.856189
-10.780642	1.000000	2.856190
-10.780642	1.000000	2.856191
-10.780313	1.000000	2.875532
-10.780313	1.000000	2.875533
-10.780313	1.000000	2.875534
-10.779866	1.000000	2.941443
-10.779866	1.000000	2.941444
-10.779866	1.000000	2.941445
-10.779865	1.000000	2.940057
-10.779865	1.000000	2.940058
-10.779865	1.000000	2.940059
-10.779865	1.000000	2.939417
-10.779865	1.000000	2.939418
-10.779865	1.000000	2.939419
-10.779864	1.000000	2.938547
-10.779864	1.000000	2.938548
-10.779864	1.000000	2.938549
-10.779864	1.000000	2.938195
Column 12| A:0	C:0	G:0	T:0	-:14	
Likelihood	Scale	Scale2
-7.830779	1.000000	1.000000
-7.830779	1.000000	1.000000
-7.830779	1.000000	1.000001
-7.830779	1.000000	1.000002
-7.814979	1.000000	1.056321
-7.814979	1.000000	1.056322
-7.814978	1.000000	1.056323
-7.775317	1.000000	1.310693
-7.775317	1.000000	1.310694
-7.775317	1.000000	1.310695
-7.771727	1.000000	1.381353
-7.771727	1.000000	1.381354
-7.771727	1.000000	1.381355
-7.770892	1.000000	1.419696
-7.770892	1.000000	1.419697
-7.770892	1.000000	1.419698
-7.770817	1.000000	1.427006
-7.770817	1.000000	1.427007
-7.770817	1.000000	1.427008
-7.770757	1.000000	1.436973
-7.770757	1.000000	1.436974
-7.770757	1.000000	1.436975
-7.770747	1.000000	1.440593
-7.770747	1.000000	1.440594
-7.770747	1.000000	1.440595
-7.770743	1.000000	1.443476
-7.770743	1.000000	1.443477
-7.770743	1.000000	1.443478
-7.770744	1.000000	1.446212
-7.770743	1.000000	1.444844
-7.770743	1.000000	1.444845
-7.770743	1.000000	1.444846
-7.770743	1.000000	1.444518
Column 13| A:0	C:0	G:0	T:0	-:13	
Likelihood	Scale	Scale2
-17.737749	1.000000	1.000000
-17.737749	1.000000	1.000000
-17.737746	1.000000	1.000001
-17.737744	1.000000	1.000002
-17.249048	1.000000	1.246681
-17.249046	1.000000	1.246682
-17.249045	1.000000	1.246683
-15.734183	1.000000	3.469959
-15.734183	1.000000	3.469960
-15.734183	1.000000	3.469961
-15.712335	1.000000	3.618571
-15.712335	1.000000	3.618572
-15.712335	1.000000	3.618573
-15.701104	1.000000	3.713025
-15.701104	1.000000	3.713026
-15.701104	1.000000	3.713027
-15.690593	1.000000	3.821493
-15.690593	1.000000	3.821494
-15.690592	1.000000	3.821495
-15.684011	1.000000	3.907060
-15.684011	1.000000	3.907061
-15.684011	1.000000	3.907062
-15.679846	1.000000	3.974378
-15.679846	1.000000	3.974379
-15.679846	1.000000	3.974380
-15.677000	1.000000	4.031200
-15.677000	1.000000	4.031201
-15.677000	1.000000	4.031202
-15.675178	1.000000	4.075990
-15.675178	1.000000	4.075991
-15.675178	1.000000	4.075992
-15.673652	1.000000	4.123065
-15.673652	1.000000	4.123066
-15.673652	1.000000	4.123067
-15.672868	1.000000	4.153751
-15.672868	1.000000	4.153752
-15.672868	1.000000	4.153753
-15.672390	1.000000	4.176620
-15.672390	1.000000	4.176621
-15.672390	1.000000	4.176622
-15.672278	1.000000	4.182689
-15.672278	1.000000	4.182690
-15.672278	1.000000	4.182691
-15.671986	1.000000	4.200569
-15.671986	1.000000	4.200570
-15.671986	1.000000	4.200571
-15.671785	1.000000	4.215401
-15.671785	1.000000	4.215402
-15.671785	1.000000	4.215403
-15.671646	1.000000	4.227724
-15.671646	1.000000	4.227725
-15.671646	1.000000	4.227726
-15.671549	1.000000	4.237977
-15.671549	1.000000	4.237978
-15.671549	1.000000	4.237979
-15.671482	1.000000	4.246516
-15.671482	1.000000	4.246517
-15.671482	1.000000	4.246518
-15.672550	1.000000	4.413492
-15.671459	1.000000	4.330004
-15.671459	1.000000	4.330005
-15.671459	1.000000	4.330006
-15.671421	1.000000	4.323525
-15.671421	1.000000	4.323526
-15.671421	1.000000	4.323527
-15.671393	1.000000	4.318082
-15.671393	1.000000	4.318083
-15.671393	1.000000	4.318084
-15.671374	1.000000	4.313513
-15.671374	1.000000	4.313514
-15.671374	1.000000	4.313515
-15.671353	1.000000	4.307183
-15.671353	1.000000	4.307184
-15.671353	1.000000	4.307185
-15.671329	1.000000	4.291649
-15.671329	1.000000	4.291650
-15.671329	1.000000	4.291651
-15.671329	1.000000	4.291198
Column 14| A:0	C:0	G:0	T:0	-:10	
Likelihood	Scale	Scale2
-33.751018	1.000000	1.000000
-33.751018	1.000000	1.000000
-33.751013	1.000000	1.000001
-33.751008	1.000000	1.000002
-33.700816	1.000000	1.009506
-33.700810	1.000000	1.009507
-33.700805	1.000000	1.009508
-26.414474	1.000000	6.262523
-26.414473	1.000000	6.262524
-26.414473	1.000000	6.262525
-26.403726	1.000000	6.305364
-26.403726	1.000000	6.305365
-26.403726	1.000000	6.305366
-26.384251	1.000000	6.386020
-26.384251	1.000000	6.386021
-26.384250	1.000000	6.386022
-26.371846	1.000000	6.439625
-26.371846	1.000000	6.439626
-26.371845	1.000000	6.439627
-26.366690	1.000000	6.462458
-26.366690	1.000000	6.462459
-26.366690	1.000000	6.462460
-26.362030	1.000000	6.483396
-26.362030	1.000000	6.483397
-26.362029	1.000000	6.483398
-26.350156	1.000000	6.538078
-26.350156	1.000000	6.538079
-26.350156	1.000000	6.538080
-26.345511	1.000000	6.560024
-26.345511	1.000000	6.560025
-26.345511	1.000000	6.560026
-26.320282	1.000000	6.685322
-26.320282	1.000000	6.685323
-26.320281	1.000000	6.685324
-26.315607	1.000000	6.709789
-26.315607	1.000000	6.709790
-26.315607	1.000000	6.709791
-26.312918	1.000000	6.724062
-26.312918	1.000000	6.724063
-26.312918	1.000000	6.724064
-26.280104	1.000000	6.911510
-26.280104	1.000000	6.911511
-26.280104	1.000000	6.911512
-26.255242	1.000000	7.074388
-26.255242	1.000000	7.074389
-26.255242	1.000000	7.074390
-26.236141	1.000000	7.216948
-26.236141	1.000000	7.216949
-26.236141	1.000000	7.216950
-26.234650	1.000000	7.228893
-26.234650	1.000000	7.228894
-26.234650	1.000000	7.228895
-26.233017	1.000000	7.242128
-26.233017	1.000000	7.242129
-26.233017	1.000000	7.242130
-26.218855	1.000000	7.364714
-26.218855	1.000000	7.364715
-26.218854	1.000000	7.364716
-26.207727	1.000000	7.473268
-26.207727	1.000000	7.473269
-26.207727	1.000000	7.473270
-26.198918	1.000000	7.569780
-26.198918	1.000000	7.569781
-26.198918	1.000000	7.569782
-26.195261	1.000000	7.613442
-26.195261	1.000000	7.613443
-26.195261	1.000000	7.613444
-26.188721	1.000000	7.698365
-26.188721	1.000000	7.698366
-26.188720	1.000000	7.698367
-26.166276	1.000000	8.142627
-26.166276	1.000000	8.142628
-26.166276	1.000000	8.142629
-26.165460	1.000000	8.171869
-26.165460	1.000000	8.171870
-26.165460	1.000000	8.171871
-26.165193	1.000000	8.182093
-26.165193	1.000000	8.182094
-26.165193	1.000000	8.182095
-26.165142	1.000000	8.184096
-26.165142	1.000000	8.184097
-26.165142	1.000000	8.184098
-26.164525	1.000000	8.209521
-26.164525	1.000000	8.209522
-26.164525	1.000000	8.209523
-26.164015	1.000000	8.232627
-26.164015	1.000000	8.232628
-26.164015	1.000000	8.232629
-26.163594	1.000000	8.253643
-26.163594	1.000000	8.253644
-26.163594	1.000000	8.253645
-26.163244	1.000000	8.272761
-26.163244	1.000000	8.272762
-26.163244	1.000000	8.272763
-26.163202	1.000000	8.275222
-26.163202	1.000000	8.275223
-26.163202	1.000000	8.275224
-26.162920	1.000000	8.292407
-26.162920	1.000000	8.292408
-26.162920	1.000000	8.292409
-26.162685	1.000000	8.308058
-26.162685	1.000000	8.308059
-26.162685	1.000000	8.308060
-26.162662	1.000000	8.309684
-26.162662	1.000000	8.309685
-26.162662	1.000000	8.309686
-26.162624	1.000000	8.312429
-26.162624	1.000000	8.312430
-26.162624	1.000000	8.312431
-26.162602	1.000000	8.314039
-26.162602	1.000000	8.314040
-26.162602	1.000000	8.314041
-26.162573	1.000000	8.316114
-26.162573	1.000000	8.316115
-26.162573	1.000000	8.316116
-26.162398	1.000000	8.329659
-26.162398	1.000000	8.329660
-26.162398	1.000000	8.329661
-26.162252	1.000000	8.342008
-26.162252	1.000000	8.342009
-26.162252	1.000000	8.342010
-26.162131	1.000000	8.353271
-26.162131	1.000000	8.353272
-26.162131	1.000000	8.353273
-26.162030	1.000000	8.363544
-26.162030	1.000000	8.363545
-26.162030	1.000000	8.363546
-26.161946	1.000000	8.372908
-26.161946	1.000000	8.372909
-26.161946	1.000000	8.372910
-26.161876	1.000000	8.381457
-26.161876	1.000000	8.381458
-26.161876	1.000000	8.381459
-26.161818	1.000000	8.389258
-26.161818	1.000000	8.389259
-26.161818	1.000000	8.389260
-26.161769	1.000000	8.396381
-26.161769	1.000000	8.396382
-26.161769	1.000000	8.396383
-26.161729	1.000000	8.402877
-26.161729	1.000000	8.402878
-26.161729	1.000000	8.402879
-26.161727	1.000000	8.403201
-26.161727	1.000000	8.403202
-26.161727	1.000000	8.403203
-26.161694	1.000000	8.409115
-26.161694	1.000000	8.409116
-26.161694	1.000000	8.409117
-26.161666	1.000000	8.414513
-26.161666	1.000000	8.414514
-26.161666	1.000000	8.414515
-26.161656	1.000000	8.416584
-26.161656	1.000000	8.416585
-26.161656	1.000000	8.416586
-26.161634	1.000000	8.421332
-26.161634	1.000000	8.421333
-26.161634	1.000000	8.421334
-26.161632	1.000000	8.421790
Column 15| A:0	C:0	G:0	T:0	-:2	
Likelihood	Scale	Scale2
-27.337250	1.000000	1.000000
-27.337250	1.000000	1.000000
-27.337246	1.000000	1.000001
-27.337247	1.000000	1.000002
-27.337247	1.000000	1.000001
Column 22| A:1	C:0	G:0	T:0	-:2	
Likelihood	Scale	Scale2
-9.206525	1.000000	1.000000
-9.206525	1.000000	1.000000
-9.206524	1.000000	1.000001
-9.206524	1.000000	1.000002
-9.189141	1.000000	1.069577
-9.189140	1.000000	1.069578
-9.189140	1.000000	1.069579
-9.167497	1.000000	1.201680
-9.167497	1.000000	1.201681
-9.167497	1.000000	1.201682
-9.162461	1.000000	1.254111
-9.162461	1.000000	1.254112
-9.162461	1.000000	1.254113
-9.158183	1.000000	1.332803
-9.158183	1.000000	1.332804
